state,electrode,acc_reference_pct,acc_both_pct,gain_pts,gain_ci_lo,gain_ci_hi,p_gain_maxstat,n_subjects,n_trials,n_bootstraps,n_perm
S2,Fz,56.6343984011334,54.15535822707952,-2.4790401740538353,-3.809957498482086,-1.0732898198745349,,36,61,200,0
S2,Cz,56.09485681036228,53.06180429062943,-3.0330525197328497,-4.26824023477028,-1.8822733252378046,,36,61,200,0
S2,Pz,56.79405737704919,54.08270087026917,-2.711356506780003,-4.272604229912973,-1.3812360858125858,,36,61,200,0
S2,C3,56.210091580651735,52.70083232139242,-3.509259259259258,-5.088291843756337,-1.6663504351345793,,36,61,200,0
S2,C4,55.57542754503137,51.916881704108484,-3.658545840922891,-5.373722424610407,-1.7313676381299306,,36,61,200,0
S2,T3,50.29452539971665,49.19773325237804,-1.0967921473385964,-5.266709674155033,8.075731127302168,,36,61,200,0
S2,T4,42.87677089657962,40.30596033191663,-2.570810564663024,-7.830461951022068,7.118182048168397,,36,61,200,0
S2,Fp1,47.42748178506374,50.664971665654726,3.237489880590975,-3.4161859947379014,12.07738818053026,,36,61,200,0
S2,Fp2,51.41922181744584,48.84809502125078,-2.5711267961951036,-5.674521857923505,5.343364197530878,,36,61,200,0
S2,O1,56.044715138635915,55.949491499696435,-0.09522363893948523,-2.084029042703905,1.7662795992714018,,36,61,200,0
S2,O2,57.14134284557779,55.90678759360458,-1.2345552519732836,-2.7840391621129217,0.46460736692977356,,36,61,200,0
S2,F3,55.59619763205828,51.77079538554946,-3.8254022465088013,-5.324263812993324,-1.9258500303582247,,36,61,200,0
S2,F4,55.7932857721109,52.73786935842948,-3.05541641368144,-4.804379174256228,-1.215214531471361,,36,61,200,0
S2,P3,56.32488362679622,54.67381349929168,-1.6510701275045563,-3.3963899008297966,0.2514673143088405,,36,61,200,0
S2,P4,56.064827464076075,54.042843047965995,-2.0219844161101026,-3.607316332726169,-0.35620319773324044,,36,61,200,0
S2,FC1,56.90551001821492,53.9798117789921,-2.925698239222832,-4.328830196316541,-1.5495345071847848,,36,61,200,0
S2,FC2,55.605267152398284,51.93803126897386,-3.6672358834244054,-5.570165452337574,-1.7686829589151971,,36,61,200,0
S2,CP1,55.87097753491192,53.64365766039263,-2.2273198745193277,-3.9115310665857135,-0.43602003642988096,,36,61,200,0
S2,CP2,56.22353774539568,53.947239931188015,-2.2762978142076524,-3.90248684476827,-0.534684274438365,,36,61,200,0
