stage,n_subjects,n_spectra,R2_fixed,R2_knee,delta_R2,delta_R2_std,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
S1,38,25289,0.9809,0.978,-0.0029,0.0057,3.73,3.48,0.26,1.743,2.419
S2,38,28880,0.9878,0.9871,-0.0007,0.0032,3.2,2.71,0.49,2.168,2.752
S3,38,27075,0.9909,0.9903,-0.0006,0.0026,2.96,2.67,0.29,2.405,2.893
S4,38,28880,0.9919,0.9916,-0.0003,0.0016,2.83,2.87,-0.04,2.688,3.014
REM,38,28880,0.9834,0.9853,0.0019,0.0032,3.75,3.88,-0.13,1.824,2.404
