subject,stage,n_spectra,r2_fixed,r2_knee,delta_R2,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
27,S2,760,0.989277,0.987715,-0.001562,3.710526,3.173684,0.536842,2.151901,2.572270
27,S3,760,0.990957,0.991286,0.000329,3.427632,3.273684,0.153947,2.333191,2.685467
27,S4,760,0.991959,0.991974,0.000015,3.402632,3.589474,-0.186842,2.626733,2.837160
27,REM,760,0.979071,0.980684,0.001613,3.551316,3.575000,-0.023684,1.856702,2.737643
28,S1,209,0.985064,0.982246,-0.002818,3.196172,3.009569,0.186603,1.902608,3.488967
28,S2,760,0.989576,0.984110,-0.005466,2.823684,2.338158,0.485526,2.323748,3.785201
28,S3,760,0.991127,0.983250,-0.007877,2.890789,2.157895,0.732895,2.522191,3.792178
28,S4,760,0.992952,0.990991,-0.001961,2.640789,2.294737,0.346053,2.827328,3.460066
28,REM,760,0.985720,0.989238,0.003518,2.997368,3.321053,-0.323684,1.926395,3.320481
29,S1,247,0.985130,0.982252,-0.002878,3.631579,3.368421,0.263158,1.686609,2.444331
29,S2,760,0.989936,0.989695,-0.000241,3.268421,2.626316,0.642105,2.209345,2.751057
29,S3,760,0.991501,0.991628,0.000127,3.153947,2.705263,0.448684,2.546852,2.945930
29,S4,760,0.994181,0.994770,0.000590,2.764474,2.968421,-0.203947,2.911859,3.267076
29,REM,760,0.988792,0.993556,0.004764,3.467105,4.401316,-0.934211,1.906755,2.636943
30,S1,741,0.984200,0.987356,0.003155,3.968961,4.040486,-0.071525,1.688727,2.280242
30,S2,760,0.988644,0.990920,0.002276,2.873684,2.635526,0.238158,2.142716,2.889216
30,S3,760,0.991377,0.992028,0.000651,2.805263,2.759211,0.046053,2.339958,3.024981
30,S4,760,0.984395,0.983393,-0.001002,2.809211,2.855263,-0.046053,2.566665,2.970882
30,REM,760,0.986304,0.990093,0.003789,3.932895,4.243421,-0.310526,1.764550,2.219170
31,S1,760,0.981559,0.981793,0.000234,4.098684,3.865789,0.232895,1.612963,2.185354
31,S2,760,0.990154,0.988671,-0.001482,3.418421,2.592105,0.826316,2.240654,2.765884
31,S3,760,0.990961,0.988928,-0.002033,3.188158,2.455263,0.732895,2.343200,2.765193
31,S4,760,0.993591,0.993241,-0.000350,2.994737,2.669737,0.325000,2.701380,3.021417
31,REM,760,0.987439,0.990349,0.002910,4.182895,4.323684,-0.140789,1.719372,2.206156
32,S1,760,0.981585,0.977384,-0.004200,3.446053,3.226316,0.219737,1.780244,2.609893
32,S2,760,0.991185,0.991715,0.000530,3.167105,2.865789,0.301316,2.433014,2.873985
32,S3,760,0.992089,0.992037,-0.000052,3.003947,2.688158,0.315789,2.547424,2.973188
32,S4,760,0.991690,0.991833,0.000143,2.764474,2.980263,-0.215789,2.725769,3.047267
32,REM,760,0.978399,0.984360,0.005961,3.488158,3.910526,-0.422368,1.906333,2.451420
33,S1,399,0.987130,0.988773,0.001643,4.293233,4.070175,0.223058,1.699365,2.271044
33,S2,760,0.985022,0.987056,0.002034,3.438158,2.455263,0.982895,2.183583,2.880179
33,S3,589,0.992665,0.991577,-0.001088,3.261460,2.303905,0.957555,2.474344,2.944403
33,S4,760,0.994355,0.993415,-0.000940,3.194737,2.810526,0.384211,2.806699,3.061826
33,REM,760,0.982991,0.991281,0.008289,3.823684,4.236842,-0.413158,1.771804,2.303344
