56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_per_s14            | hyp_per_s35            |    811 |    994 |    42.1% |      672
hyp_jbe_s14            | hyp_jbe_s19            |    811 |    809 |    41.9% |      626
hyp_jbe_s19            | hyp_per_s14            |    809 |    811 |    41.8% |      627
hyp_jbe_s33            | hyp_per_s15            |    935 |    879 |    41.6% |      729
hyp_per_s23            | hyp_per_s4             |    949 |    721 |    41.4% |      637
hyp_per_s30            | hyp_per_s34            |    938 |   1003 |    41.4% |      840
hyp_jbe_s33            | hyp_per_s31            |    935 |   1127 |    41.3% |      774
hyp_jbe_s23            | hyp_per_s20            |    949 |    910 |    41.3% |      745
hyp_jbe_s4             | hyp_per_s23            |    721 |    949 |    41.0% |      619
hyp_per_s15            | hyp_per_s33            |    879 |    935 |    41.0% |      766
hyp_jbe_s6             | hyp_per_s12            |    814 |    948 |    40.8% |      692
hyp_jbe_s23            | hyp_per_s21            |    949 |    905 |    40.7% |      755
hyp_jbe_s6             | hyp_per_s28            |    814 |    892 |    40.6% |      689
hyp_jbe_s23            | hyp_per_s36            |    949 |    950 |    40.6% |      736
hyp_jbe_s26            | hyp_per_s30            |    944 |    938 |    40.6% |      788
hyp_jbe_s10            | hyp_jbe_s19            |    852 |    809 |    40.5% |      661
hyp_per_s12            | hyp_per_s37            |    948 |    774 |    40.5% |      660
hyp_jbe_s25            | hyp_per_s20            |   1072 |    910 |    40.3% |      712
hyp_jbe_s19            | hyp_per_s25            |    809 |   1072 |    40.3% |      601
hyp_jbe_s2             | hyp_per_s12            |    818 |    948 |    40.2% |      686
hyp_jbe_s26            | hyp_per_s32            |    944 |    984 |    40.2% |      741
hyp_jbe_s23            | hyp_per_s28            |    949 |    892 |    40.2% |      722
hyp_per_s11            | hyp_per_s25            |   1055 |   1072 |    40.0% |      839
hyp_per_s31            | hyp_per_s33            |   1127 |    935 |    40.0% |      808
hyp_jbe_s1             | hyp_jbe_s16            |    947 |    881 |    40.0% |      463
hyp_jbe_s23            | hyp_per_s18            |    949 |    859 |    39.9% |      684
hyp_per_s35            | hyp_per_s37            |    994 |    774 |    39.9% |      654
hyp_jbe_s6             | hyp_per_s22            |    814 |    850 |    39.9% |      710
hyp_jbe_s23            | hyp_jbe_s37            |    949 |    774 |    39.9% |      552
hyp_per_s19            | hyp_per_s28            |    999 |    892 |    39.8% |      766
hyp_per_s28            | hyp_per_s29            |    892 |    999 |    39.8% |      766
hyp_per_s13            | hyp_per_s5             |    922 |   1080 |    39.8% |      746
hyp_per_s22            | hyp_per_s6             |    850 |    814 |    39.8% |      736
hyp_per_s3             | hyp_per_s30            |    944 |    938 |    39.8% |      839
hyp_per_s12            | hyp_per_s7             |    948 |    896 |    39.7% |      790
hyp_per_s12            | hyp_per_s38            |    948 |   1061 |    39.7% |      743
hyp_jbe_s2             | hyp_per_s6             |    818 |    814 |    39.7% |      688
hyp_jbe_s26            | hyp_jbe_s37            |    944 |    774 |    39.6% |      538
hyp_jbe_s19            | hyp_per_s38            |    809 |   1061 |    39.5% |      582
hyp_per_s4             | hyp_per_s8             |    721 |    882 |    39.4% |      624
hyp_jbe_s19            | hyp_jbe_s25            |    809 |   1072 |    39.4% |      592
hyp_per_s38            | hyp_per_s6             |   1061 |    814 |    39.3% |      631
hyp_jbe_s11            | hyp_jbe_s25            |   1055 |   1072 |    39.3% |      751
hyp_jbe_s1             | hyp_per_s16            |    947 |    881 |    39.3% |      494
hyp_per_s20            | hyp_per_s36            |    910 |    950 |    39.3% |      787
hyp_per_s20            | hyp_per_s30            |    910 |    938 |    39.2% |      823
hyp_jbe_s23            | hyp_jbe_s32            |    949 |    984 |    39.2% |      617
hyp_jbe_s32            | hyp_per_s26            |    984 |    944 |    39.2% |      694
hyp_jbe_s2             | hyp_jbe_s6             |    818 |    814 |    39.1% |      663
hyp_jbe_s14            | hyp_jbe_s35            |    811 |    994 |    39.1% |      576
hyp_jbe_s23            | hyp_per_s19            |    949 |    999 |    39.0% |      748
hyp_jbe_s23            | hyp_per_s29            |    949 |    999 |    39.0% |      748
hyp_per_s19            | hyp_per_s36            |    999 |    950 |    39.0% |      807
hyp_per_s29            | hyp_per_s36            |    999 |    950 |    39.0% |      807
hyp_per_s25            | hyp_per_s38            |   1072 |   1061 |    39.0% |      785
hyp_jbe_s37            | hyp_per_s26            |    774 |    944 |    38.9% |      589
hyp_jbe_s23            | hyp_per_s32            |    949 |    984 |    38.9% |      718
hyp_jbe_s14            | hyp_per_s10            |    811 |    852 |    38.8% |      693
hyp_jbe_s26            | hyp_per_s4             |    944 |    721 |    38.8% |      585
hyp_per_s34            | hyp_per_s37            |   1003 |    774 |    38.8% |      673
hyp_per_s36            | hyp_per_s4             |    950 |    721 |    38.6% |      598
hyp_per_s3             | hyp_per_s36            |    944 |    950 |    38.6% |      808
hyp_per_s21            | hyp_per_s28            |    905 |    892 |    38.6% |      793
hyp_jbe_s26            | hyp_jbe_s32            |    944 |    984 |    38.5% |      633
hyp_jbe_s32            | hyp_per_s23            |    984 |    949 |    38.5% |      668
hyp_jbe_s26            | hyp_per_s36            |    944 |    950 |    38.5% |      754
hyp_per_s25            | hyp_per_s32            |   1072 |    984 |    38.4% |      773
hyp_jbe_s14            | hyp_per_s35            |    811 |    994 |    38.4% |      669
hyp_jbe_s1             | hyp_per_s5             |    947 |   1080 |    38.4% |      492
hyp_per_s26            | hyp_per_s37            |    944 |    774 |    38.4% |      680
hyp_jbe_s6             | hyp_per_s2             |    814 |    818 |    38.3% |      699
hyp_per_s14            | hyp_per_s34            |    811 |   1003 |    38.3% |      694
hyp_per_s2             | hyp_per_s6             |    818 |    814 |    38.3% |      726
hyp_jbe_s26            | hyp_per_s37            |    944 |    774 |    38.3% |      627
hyp_jbe_s29            | hyp_per_s6             |    999 |    814 |    38.2% |      696
hyp_jbe_s35            | hyp_jbe_s37            |    994 |    774 |    38.1% |      501
hyp_per_s23            | hyp_per_s30            |    949 |    938 |    38.1% |      838
