56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s11            | hyp_per_s20            |   1055 |    910 |    33.8% |      712
hyp_jbe_s6             | hyp_per_s26            |    814 |    944 |    33.8% |      715
hyp_per_s10            | hyp_per_s3             |    852 |    944 |    33.8% |      745
hyp_per_s32            | hyp_per_s34            |    984 |   1003 |    33.8% |      822
hyp_per_s23            | hyp_per_s6             |    949 |    814 |    33.8% |      734
hyp_per_s16            | hyp_per_s21            |    881 |    905 |    33.8% |      782
hyp_jbe_s23            | hyp_per_s7             |    949 |    896 |    33.7% |      735
hyp_per_s13            | hyp_per_s4             |    922 |    721 |    33.7% |      584
hyp_jbe_s10            | hyp_per_s3             |    852 |    944 |    33.7% |      753
hyp_jbe_s19            | hyp_per_s30            |    809 |    938 |    33.7% |      680
hyp_per_s11            | hyp_per_s21            |   1055 |    905 |    33.6% |      794
hyp_jbe_s10            | hyp_jbe_s33            |    852 |    935 |    33.6% |      711
hyp_jbe_s35            | hyp_per_s32            |    994 |    984 |    33.6% |      697
hyp_per_s26            | hyp_per_s3             |    944 |    944 |    33.6% |      843
hyp_per_s18            | hyp_per_s4             |    859 |    721 |    33.6% |      605
hyp_per_s32            | hyp_per_s5             |    984 |   1080 |    33.5% |      808
hyp_jbe_s33            | hyp_per_s38            |    935 |   1061 |    33.5% |      701
hyp_jbe_s14            | hyp_per_s25            |    811 |   1072 |    33.5% |      636
hyp_jbe_s19            | hyp_per_s11            |    809 |   1055 |    33.4% |      634
hyp_jbe_s11            | hyp_per_s33            |   1055 |    935 |    33.4% |      733
hyp_jbe_s26            | hyp_per_s20            |    944 |    910 |    33.4% |      749
hyp_jbe_s10            | hyp_per_s34            |    852 |   1003 |    33.4% |      758
hyp_jbe_s10            | hyp_per_s30            |    852 |    938 |    33.3% |      780
hyp_jbe_s25            | hyp_per_s16            |   1072 |    881 |    33.3% |      684
hyp_jbe_s6             | hyp_per_s21            |    814 |    905 |    33.3% |      717
hyp_per_s11            | hyp_per_s35            |   1055 |    994 |    33.3% |      792
hyp_per_s16            | hyp_per_s6             |    881 |    814 |    33.3% |      717
hyp_per_s12            | hyp_per_s25            |    948 |   1072 |    33.3% |      775
hyp_per_s14            | hyp_per_s7             |    811 |    896 |    33.3% |      697
hyp_jbe_s37            | hyp_per_s32            |    774 |    984 |    33.3% |      550
hyp_per_s21            | hyp_per_s38            |    905 |   1061 |    33.2% |      725
hyp_jbe_s32            | hyp_per_s3             |    984 |    944 |    33.2% |      668
hyp_per_s31            | hyp_per_s5             |   1127 |   1080 |    33.2% |      924
hyp_jbe_s37            | hyp_per_s36            |    774 |    950 |    33.2% |      560
hyp_jbe_s10            | hyp_jbe_s18            |    852 |    859 |    33.2% |      702
hyp_per_s32            | hyp_per_s9             |    984 |    993 |    33.2% |      820
hyp_jbe_s26            | hyp_per_s3             |    944 |    944 |    33.2% |      769
hyp_jbe_s10            | hyp_per_s11            |    852 |   1055 |    33.2% |      733
hyp_jbe_s26            | hyp_per_s14            |    944 |    811 |    33.1% |      643
hyp_per_s32            | hyp_per_s35            |    984 |    994 |    33.1% |      788
hyp_jbe_s35            | hyp_per_s10            |    994 |    852 |    33.0% |      636
hyp_jbe_s37            | hyp_per_s22            |    774 |    850 |    33.0% |      591
hyp_per_s34            | hyp_per_s5             |   1003 |   1080 |    33.0% |      849
hyp_jbe_s10            | hyp_per_s33            |    852 |    935 |    32.9% |      747
hyp_per_s12            | hyp_per_s9             |    948 |    993 |    32.9% |      820
hyp_per_s15            | hyp_per_s27            |    879 |   1097 |    32.9% |      653
hyp_per_s23            | hyp_per_s34            |    949 |   1003 |    32.9% |      805
hyp_per_s16            | hyp_per_s30            |    881 |    938 |    32.9% |      785
hyp_per_s14            | hyp_per_s22            |    811 |    850 |    32.9% |      703
hyp_per_s13            | hyp_per_s23            |    922 |    949 |    32.8% |      771
hyp_per_s15            | hyp_per_s20            |    879 |    910 |    32.8% |      772
hyp_jbe_s32            | hyp_per_s2             |    984 |    818 |    32.8% |      592
hyp_jbe_s32            | hyp_jbe_s35            |    984 |    994 |    32.8% |      586
hyp_jbe_s14            | hyp_jbe_s26            |    811 |    944 |    32.8% |      644
hyp_per_s17            | hyp_per_s36            |    926 |    950 |    32.7% |      794
hyp_per_s13            | hyp_per_s8             |    922 |    882 |    32.7% |      736
hyp_per_s15            | hyp_per_s38            |    879 |   1061 |    32.7% |      675
hyp_jbe_s10            | hyp_jbe_s35            |    852 |    994 |    32.7% |      639
hyp_jbe_s16            | hyp_per_s21            |    881 |    905 |    32.7% |      753
hyp_per_s18            | hyp_per_s21            |    859 |    905 |    32.7% |      753
hyp_per_s26            | hyp_per_s5             |    944 |   1080 |    32.7% |      830
hyp_jbe_s25            | hyp_jbe_s37            |   1072 |    774 |    32.6% |      533
hyp_jbe_s35            | hyp_per_s38            |    994 |   1061 |    32.6% |      665
hyp_per_s25            | hyp_per_s33            |   1072 |    935 |    32.6% |      760
hyp_per_s10            | hyp_per_s8             |    852 |    882 |    32.6% |      761
hyp_jbe_s10            | hyp_per_s19            |    852 |    999 |    32.6% |      752
hyp_jbe_s10            | hyp_per_s29            |    852 |    999 |    32.6% |      752
hyp_jbe_s6             | hyp_per_s34            |    814 |   1003 |    32.6% |      703
hyp_jbe_s16            | hyp_jbe_s25            |    881 |   1072 |    32.6% |      657
hyp_per_s31            | hyp_per_s37            |   1127 |    774 |    32.6% |      651
hyp_per_s21            | hyp_per_s8             |    905 |    882 |    32.5% |      802
hyp_jbe_s33            | hyp_jbe_s37            |    935 |    774 |    32.5% |      544
hyp_per_s12            | hyp_per_s35            |    948 |    994 |    32.5% |      812
hyp_jbe_s33            | hyp_per_s25            |    935 |   1072 |    32.5% |      729
hyp_jbe_s32            | hyp_per_s7             |    984 |    896 |    32.5% |      646
hyp_per_s34            | hyp_per_s6             |   1003 |    814 |    32.5% |      726
hyp_per_s19            | hyp_per_s21            |    999 |    905 |    32.5% |      803
hyp_per_s21            | hyp_per_s29            |    905 |    999 |    32.5% |      803
hyp_jbe_s1             | hyp_per_s31            |    947 |   1127 |    32.5% |      499
hyp_per_s3             | hyp_per_s35            |    944 |    994 |    32.5% |      804
hyp_per_s21            | hyp_per_s5             |    905 |   1080 |    32.5% |      801
hyp_jbe_s18            | hyp_per_s4             |    859 |    721 |    32.4% |      583
hyp_jbe_s23            | hyp_per_s25            |    949 |   1072 |    32.4% |      701
hyp_jbe_s10            | hyp_jbe_s29            |    852 |    999 |    32.4% |      735
hyp_per_s32            | hyp_per_s37            |    984 |    774 |    32.4% |      627
hyp_per_s10            | hyp_per_s18            |    852 |    859 |    32.4% |      726
hyp_per_s31            | hyp_per_s34            |   1127 |   1003 |    32.4% |      862
hyp_jbe_s16            | hyp_per_s38            |    881 |   1061 |    32.4% |      646
hyp_per_s30            | hyp_per_s4             |    938 |    721 |    32.3% |      637
hyp_jbe_s29            | hyp_per_s22            |    999 |    850 |    32.3% |      725
hyp_jbe_s37            | hyp_per_s38            |    774 |   1061 |    32.3% |      502
hyp_per_s22            | hyp_per_s37            |    850 |    774 |    32.3% |      682
hyp_per_s14            | hyp_per_s37            |    811 |    774 |    32.3% |      648
hyp_jbe_s33            | hyp_per_s10            |    935 |    852 |    32.2% |      704
hyp_per_s20            | hyp_per_s26            |    910 |    944 |    32.2% |      819
hyp_jbe_s32            | hyp_per_s9             |    984 |    993 |    32.2% |      690
hyp_jbe_s4             | hyp_per_s13            |    721 |    922 |    32.2% |      569
hyp_jbe_s29            | hyp_per_s5             |    999 |   1080 |    32.2% |      824
hyp_jbe_s23            | hyp_per_s10            |    949 |    852 |    32.2% |      706
hyp_jbe_s16            | hyp_per_s6             |    881 |    814 |    32.1% |      675
hyp_jbe_s26            | hyp_per_s5             |    944 |   1080 |    32.1% |      757
hyp_per_s20            | hyp_per_s21            |    910 |    905 |    32.1% |      810
hyp_jbe_s32            | hyp_per_s34            |    984 |   1003 |    32.1% |      698
hyp_per_s28            | hyp_per_s30            |    892 |    938 |    32.1% |      798
hyp_jbe_s14            | hyp_jbe_s29            |    811 |    999 |    32.1% |      655
hyp_jbe_s35            | hyp_per_s34            |    994 |   1003 |    32.1% |      730
hyp_per_s35            | hyp_per_s6             |    994 |    814 |    32.1% |      702
hyp_jbe_s19            | hyp_per_s26            |    809 |    944 |    32.0% |      671
hyp_jbe_s35            | hyp_per_s23            |    994 |    949 |    32.0% |      690
hyp_per_s31            | hyp_per_s4             |   1127 |    721 |    32.0% |      612
hyp_jbe_s32            | hyp_per_s36            |    984 |    950 |    32.0% |      662
hyp_per_s14            | hyp_per_s26            |    811 |    944 |    32.0% |      700
hyp_jbe_s18            | hyp_per_s26            |    859 |    944 |    32.0% |      722
hyp_jbe_s18            | hyp_per_s37            |    859 |    774 |    32.0% |      622
hyp_jbe_s6             | hyp_per_s16            |    814 |    881 |    32.0% |      691
hyp_per_s25            | hyp_per_s36            |   1072 |    950 |    32.0% |      763
hyp_per_s21            | hyp_per_s33            |    905 |    935 |    32.0% |      807
hyp_jbe_s10            | hyp_jbe_s23            |    852 |    949 |    32.0% |      707
hyp_per_s20            | hyp_per_s35            |    910 |    994 |    32.0% |      776
hyp_per_s24            | hyp_per_s7             |   1340 |    896 |    32.0% |      726
hyp_jbe_s1             | hyp_per_s14            |    947 |    811 |    32.0% |      435
hyp_jbe_s16            | hyp_jbe_s6             |    881 |    814 |    31.9% |      648
hyp_jbe_s11            | hyp_per_s18            |   1055 |    859 |    31.9% |      670
hyp_jbe_s23            | hyp_jbe_s6             |    949 |    814 |    31.9% |      645
hyp_jbe_s14            | hyp_jbe_s6             |    811 |    814 |    31.9% |      664
hyp_jbe_s16            | hyp_jbe_s23            |    881 |    949 |    31.9% |      683
hyp_jbe_s25            | hyp_per_s33            |   1072 |    935 |    31.9% |      730
hyp_jbe_s37            | hyp_per_s5             |    774 |   1080 |    31.9% |      561
hyp_jbe_s18            | hyp_per_s28            |    859 |    892 |    31.9% |      696
hyp_per_s19            | hyp_per_s35            |    999 |    994 |    31.9% |      819
hyp_per_s29            | hyp_per_s35            |    999 |    994 |    31.9% |      819
hyp_jbe_s10            | hyp_jbe_s26            |    852 |    944 |    31.9% |      703
hyp_per_s19            | hyp_per_s22            |    999 |    850 |    31.8% |      741
hyp_per_s22            | hyp_per_s29            |    850 |    999 |    31.8% |      741
hyp_per_s32            | hyp_per_s7             |    984 |    896 |    31.8% |      757
hyp_per_s18            | hyp_per_s30            |    859 |    938 |    31.8% |      758
hyp_per_s37            | hyp_per_s5             |    774 |   1080 |    31.8% |      648
hyp_per_s18            | hyp_per_s20            |    859 |    910 |    31.8% |      733
hyp_per_s18            | hyp_per_s3             |    859 |    944 |    31.8% |      727
hyp_jbe_s4             | hyp_per_s18            |    721 |    859 |    31.7% |      589
hyp_jbe_s23            | hyp_per_s6             |    949 |    814 |    31.7% |      671
hyp_jbe_s32            | hyp_jbe_s37            |    984 |    774 |    31.7% |      479
hyp_jbe_s4             | hyp_per_s30            |    721 |    938 |    31.7% |      621
hyp_jbe_s25            | hyp_jbe_s33            |   1072 |    935 |    31.7% |      703
hyp_jbe_s1             | hyp_per_s30            |    947 |    938 |    31.7% |      502
hyp_per_s30            | hyp_per_s7             |    938 |    896 |    31.7% |      821
hyp_jbe_s18            | hyp_per_s8             |    859 |    882 |    31.6% |      711
hyp_per_s19            | hyp_per_s5             |    999 |   1080 |    31.6% |      844
hyp_per_s29            | hyp_per_s5             |    999 |   1080 |    31.6% |      844
hyp_jbe_s29            | hyp_per_s35            |    999 |    994 |    31.6% |      801
hyp_per_s20            | hyp_per_s37            |    910 |    774 |    31.6% |      665
hyp_per_s12            | hyp_per_s14            |    948 |    811 |    31.6% |      675
hyp_jbe_s37            | hyp_per_s28            |    774 |    892 |    31.5% |      571
hyp_jbe_s33            | hyp_per_s21            |    935 |    905 |    31.5% |      769
hyp_jbe_s2             | hyp_per_s34            |    818 |   1003 |    31.4% |      700
hyp_jbe_s37            | hyp_per_s14            |    774 |    811 |    31.4% |      560
hyp_per_s18            | hyp_per_s26            |    859 |    944 |    31.4% |      751
hyp_per_s10            | hyp_per_s35            |    852 |    994 |    31.4% |      729
hyp_jbe_s11            | hyp_per_s14            |   1055 |    811 |    31.4% |      624
hyp_jbe_s26            | hyp_per_s10            |    944 |    852 |    31.4% |      701
hyp_jbe_s2             | hyp_jbe_s23            |    818 |    949 |    31.4% |      644
hyp_per_s10            | hyp_per_s19            |    852 |    999 |    31.4% |      743
hyp_per_s10            | hyp_per_s29            |    852 |    999 |    31.4% |      743
hyp_jbe_s18            | hyp_per_s10            |    859 |    852 |    31.3% |      699
hyp_jbe_s35            | hyp_per_s3             |    994 |    944 |    31.3% |      687
hyp_jbe_s29            | hyp_per_s8             |    999 |    882 |    31.3% |      761
hyp_jbe_s10            | hyp_per_s15            |    852 |    879 |    31.3% |      758
hyp_per_s10            | hyp_per_s33            |    852 |    935 |    31.3% |      739
hyp_per_s10            | hyp_per_s15            |    852 |    879 |    31.2% |      752
hyp_per_s12            | hyp_per_s32            |    948 |    984 |    31.2% |      794
hyp_per_s21            | hyp_per_s9             |    905 |    993 |    31.2% |      807
hyp_per_s10            | hyp_per_s25            |    852 |   1072 |    31.2% |      695
hyp_jbe_s16            | hyp_per_s30            |    881 |    938 |    31.2% |      756
hyp_jbe_s25            | hyp_per_s15            |   1072 |    879 |    31.2% |      692
hyp_jbe_s14            | hyp_per_s6             |    811 |    814 |    31.2% |      689
hyp_jbe_s18            | hyp_jbe_s4             |    859 |    721 |    31.2% |      568
hyp_per_s23            | hyp_per_s8             |    949 |    882 |    31.1% |      793
hyp_jbe_s4             | hyp_per_s31            |    721 |   1127 |    31.1% |      594
hyp_per_s11            | hyp_per_s18            |   1055 |    859 |    31.1% |      717
hyp_per_s16            | hyp_per_s31            |    881 |   1127 |    31.1% |      746
hyp_per_s20            | hyp_per_s9             |    910 |    993 |    31.1% |      795
hyp_jbe_s29            | hyp_per_s10            |    999 |    852 |    31.0% |      729
hyp_per_s12            | hyp_per_s26            |    948 |    944 |    31.0% |      842
hyp_jbe_s25            | hyp_per_s35            |   1072 |    994 |    31.0% |      743
hyp_jbe_s11            | hyp_per_s32            |   1055 |    984 |    30.9% |      740
hyp_per_s36            | hyp_per_s8             |    950 |    882 |    30.9% |      763
hyp_per_s14            | hyp_per_s32            |    811 |    984 |    30.9% |      650
hyp_jbe_s14            | hyp_per_s26            |    811 |    944 |    30.9% |      702
hyp_per_s28            | hyp_per_s32            |    892 |    984 |    30.9% |      738
hyp_jbe_s32            | hyp_per_s28            |    984 |    892 |    30.9% |      632
hyp_jbe_s25            | hyp_per_s36            |   1072 |    950 |    30.9% |      726
hyp_per_s31            | hyp_per_s38            |   1127 |   1061 |    30.9% |      833
hyp_jbe_s1             | hyp_jbe_s23            |    947 |    949 |    30.9% |      470
hyp_jbe_s25            | hyp_per_s10            |   1072 |    852 |    30.8% |      671
hyp_jbe_s26            | hyp_per_s38            |    944 |   1061 |    30.8% |      697
hyp_per_s14            | hyp_per_s15            |    811 |    879 |    30.8% |      691
hyp_jbe_s19            | hyp_jbe_s6             |    809 |    814 |    30.8% |      636
hyp_jbe_s33            | hyp_jbe_s6             |    935 |    814 |    30.8% |      649
hyp_jbe_s14            | hyp_per_s11            |    811 |   1055 |    30.8% |      659
hyp_per_s17            | hyp_per_s31            |    926 |   1127 |    30.8% |      800
hyp_jbe_s10            | hyp_per_s35            |    852 |    994 |    30.7% |      735
hyp_per_s27            | hyp_per_s31            |   1097 |   1127 |    30.7% |      641
hyp_per_s21            | hyp_per_s37            |    905 |    774 |    30.7% |      687
hyp_jbe_s11            | hyp_per_s12            |   1055 |    948 |    30.7% |      743
hyp_jbe_s32            | hyp_per_s14            |    984 |    811 |    30.7% |      564
hyp_jbe_s1             | hyp_per_s3             |    947 |    944 |    30.7% |      499
hyp_jbe_s23            | hyp_per_s8             |    949 |    882 |    30.6% |      731
hyp_per_s26            | hyp_per_s35            |    944 |    994 |    30.6% |      826
hyp_per_s36            | hyp_per_s6             |    950 |    814 |    30.6% |      702
hyp_per_s36            | hyp_per_s37            |    950 |    774 |    30.6% |      644
hyp_per_s30            | hyp_per_s5             |    938 |   1080 |    30.6% |      824
hyp_per_s34            | hyp_per_s8             |   1003 |    882 |    30.5% |      773
hyp_jbe_s37            | hyp_per_s33            |    774 |    935 |    30.5% |      570
hyp_jbe_s25            | hyp_per_s14            |   1072 |    811 |    30.5% |      616
hyp_jbe_s35            | hyp_per_s12            |    994 |    948 |    30.5% |      695
hyp_per_s17            | hyp_per_s30            |    926 |    938 |    30.5% |      833
hyp_per_s2             | hyp_per_s32            |    818 |    984 |    30.5% |      692
hyp_jbe_s26            | hyp_jbe_s33            |    944 |    935 |    30.5% |      725
hyp_jbe_s1             | hyp_jbe_s33            |    947 |    935 |    30.5% |      463
hyp_per_s26            | hyp_per_s9             |    944 |    993 |    30.4% |      841
hyp_per_s25            | hyp_per_s4             |   1072 |    721 |    30.4% |      562
hyp_jbe_s37            | hyp_per_s18            |    774 |    859 |    30.4% |      556
hyp_jbe_s10            | hyp_per_s25            |    852 |   1072 |    30.4% |      701
hyp_per_s30            | hyp_per_s38            |    938 |   1061 |    30.4% |      757
hyp_jbe_s32            | hyp_per_s37            |    984 |    774 |    30.4% |      540
hyp_jbe_s25            | hyp_per_s37            |   1072 |    774 |    30.4% |      616
hyp_per_s10            | hyp_per_s37            |    852 |    774 |    30.4% |      672
hyp_jbe_s16            | hyp_per_s4             |    881 |    721 |    30.4% |      593
hyp_jbe_s29            | hyp_per_s33            |    999 |    935 |    30.4% |      794
hyp_jbe_s23            | hyp_per_s13            |    949 |    922 |    30.3% |      725
hyp_jbe_s6             | hyp_per_s35            |    814 |    994 |    30.3% |      679
hyp_per_s31            | hyp_per_s6             |   1127 |    814 |    30.3% |      712
hyp_per_s20            | hyp_per_s6             |    910 |    814 |    30.3% |      716
hyp_jbe_s26            | hyp_per_s9             |    944 |    993 |    30.3% |      766
hyp_jbe_s11            | hyp_per_s17            |   1055 |    926 |    30.3% |      727
hyp_jbe_s26            | hyp_per_s12            |    944 |    948 |    30.2% |      767
hyp_per_s19            | hyp_per_s33            |    999 |    935 |    30.2% |      807
hyp_per_s29            | hyp_per_s33            |    999 |    935 |    30.2% |      807
hyp_per_s11            | hyp_per_s31            |   1055 |   1127 |    30.2% |      893
hyp_jbe_s35            | hyp_per_s36            |    994 |    950 |    30.2% |      672
hyp_jbe_s1             | hyp_per_s7             |    947 |    896 |    30.2% |      490
hyp_per_s10            | hyp_per_s26            |    852 |    944 |    30.2% |      769
hyp_jbe_s10            | hyp_per_s36            |    852 |    950 |    30.1% |      740
hyp_jbe_s23            | hyp_per_s17            |    949 |    926 |    30.1% |      750
hyp_jbe_s37            | hyp_per_s20            |    774 |    910 |    30.1% |      575
hyp_jbe_s35            | hyp_per_s13            |    994 |    922 |    30.1% |      645
hyp_jbe_s6             | hyp_per_s33            |    814 |    935 |    30.1% |      682
hyp_jbe_s23            | hyp_per_s16            |    949 |    881 |    30.0% |      714
hyp_jbe_s10            | hyp_jbe_s37            |    852 |    774 |    30.0% |      584
hyp_per_s28            | hyp_per_s8             |    892 |    882 |    30.0% |      771
hyp_jbe_s37            | hyp_per_s30            |    774 |    938 |    29.9% |      591
hyp_per_s1             | hyp_per_s34            |    947 |   1003 |    29.9% |      738
hyp_jbe_s10            | hyp_per_s26            |    852 |    944 |    29.9% |      775
hyp_jbe_s18            | hyp_per_s21            |    859 |    905 |    29.9% |      725
hyp_per_s1             | hyp_per_s5             |    947 |   1080 |    29.9% |      729
hyp_jbe_s29            | hyp_per_s18            |    999 |    859 |    29.9% |      706
hyp_per_s25            | hyp_per_s35            |   1072 |    994 |    29.9% |      763
hyp_jbe_s35            | hyp_per_s33            |    994 |    935 |    29.9% |      683
hyp_per_s23            | hyp_per_s7             |    949 |    896 |    29.9% |      807
hyp_jbe_s33            | hyp_per_s9             |    935 |    993 |    29.9% |      777
hyp_per_s14            | hyp_per_s16            |    811 |    881 |    29.9% |      690
hyp_jbe_s19            | hyp_per_s6             |    809 |    814 |    29.8% |      660
hyp_per_s16            | hyp_per_s5             |    881 |   1080 |    29.8% |      744
hyp_jbe_s26            | hyp_per_s35            |    944 |    994 |    29.8% |      761
hyp_jbe_s23            | hyp_jbe_s35            |    949 |    994 |    29.8% |      634
hyp_jbe_s10            | hyp_per_s17            |    852 |    926 |    29.8% |      745
hyp_jbe_s32            | hyp_per_s12            |    984 |    948 |    29.8% |      678
hyp_jbe_s16            | hyp_per_s5             |    881 |   1080 |    29.8% |      715
hyp_jbe_s32            | hyp_per_s31            |    984 |   1127 |    29.8% |      695
hyp_per_s10            | hyp_per_s36            |    852 |    950 |    29.8% |      732
hyp_jbe_s11            | hyp_jbe_s18            |   1055 |    859 |    29.8% |      638
hyp_per_s15            | hyp_per_s30            |    879 |    938 |    29.8% |      796
hyp_per_s15            | hyp_per_s7             |    879 |    896 |    29.8% |      773
hyp_jbe_s37            | hyp_per_s10            |    774 |    852 |    29.7% |      585
hyp_jbe_s11            | hyp_jbe_s29            |   1055 |    999 |    29.7% |      760
hyp_jbe_s33            | hyp_per_s19            |    935 |    999 |    29.7% |      777
hyp_jbe_s33            | hyp_per_s29            |    935 |    999 |    29.7% |      777
hyp_jbe_s37            | hyp_per_s4             |    774 |    721 |    29.7% |      535
hyp_jbe_s1             | hyp_per_s9             |    947 |    993 |    29.7% |      498
hyp_jbe_s1             | hyp_per_s33            |    947 |    935 |    29.7% |      488
hyp_jbe_s32            | hyp_per_s35            |    984 |    994 |    29.7% |      667
hyp_jbe_s16            | hyp_per_s28            |    881 |    892 |    29.7% |      718
hyp_per_s2             | hyp_per_s34            |    818 |   1003 |    29.7% |      735
hyp_jbe_s10            | hyp_per_s37            |    852 |    774 |    29.7% |      671
hyp_jbe_s33            | hyp_per_s11            |    935 |   1055 |    29.6% |      753
hyp_per_s33            | hyp_per_s9             |    935 |    993 |    29.6% |      811
hyp_per_s12            | hyp_per_s34            |    948 |   1003 |    29.6% |      828
hyp_per_s37            | hyp_per_s4             |    774 |    721 |    29.6% |      612
hyp_per_s17            | hyp_per_s18            |    926 |    859 |    29.6% |      727
hyp_per_s26            | hyp_per_s38            |    944 |   1061 |    29.6% |      761
hyp_jbe_s35            | hyp_per_s2             |    994 |    818 |    29.6% |      619
hyp_jbe_s23            | hyp_per_s12            |    949 |    948 |    29.5% |      748
hyp_jbe_s16            | hyp_per_s25            |    881 |   1072 |    29.5% |      677
hyp_per_s10            | hyp_per_s17            |    852 |    926 |    29.5% |      738
hyp_per_s2             | hyp_per_s22            |    818 |    850 |    29.5% |      745
hyp_jbe_s14            | hyp_jbe_s37            |    811 |    774 |    29.5% |      552
hyp_per_s14            | hyp_per_s25            |    811 |   1072 |    29.5% |      630
hyp_jbe_s18            | hyp_per_s20            |    859 |    910 |    29.5% |      708
hyp_per_s11            | hyp_per_s17            |   1055 |    926 |    29.5% |      786
hyp_jbe_s29            | hyp_per_s3             |    999 |    944 |    29.5% |      803
hyp_jbe_s37            | hyp_jbe_s4             |    774 |    721 |    29.5% |      522
hyp_per_s11            | hyp_per_s12            |   1055 |    948 |    29.5% |      790
hyp_jbe_s33            | hyp_per_s26            |    935 |    944 |    29.5% |      797
hyp_per_s21            | hyp_per_s25            |    905 |   1072 |    29.5% |      753
hyp_per_s21            | hyp_per_s32            |    905 |    984 |    29.5% |      777
hyp_per_s19            | hyp_per_s34            |    999 |   1003 |    29.5% |      862
hyp_per_s29            | hyp_per_s34            |    999 |   1003 |    29.5% |      862
hyp_per_s24            | hyp_per_s28            |   1340 |    892 |    29.5% |      713
hyp_jbe_s29            | hyp_jbe_s33            |    999 |    935 |    29.4% |      761
hyp_jbe_s2             | hyp_per_s38            |    818 |   1061 |    29.4% |      605
hyp_jbe_s25            | hyp_jbe_s6             |   1072 |    814 |    29.4% |      622
hyp_jbe_s1             | hyp_per_s10            |    947 |    852 |    29.4% |      480
hyp_jbe_s18            | hyp_per_s7             |    859 |    896 |    29.4% |      705
hyp_jbe_s33            | hyp_jbe_s35            |    935 |    994 |    29.4% |      654
hyp_per_s20            | hyp_per_s22            |    910 |    850 |    29.3% |      747
hyp_per_s2             | hyp_per_s35            |    818 |    994 |    29.3% |      713
hyp_per_s20            | hyp_per_s8             |    910 |    882 |    29.3% |      778
hyp_per_s19            | hyp_per_s3             |    999 |    944 |    29.3% |      819
hyp_per_s29            | hyp_per_s3             |    999 |    944 |    29.3% |      819
hyp_per_s21            | hyp_per_s24            |    905 |   1340 |    29.3% |      744
hyp_per_s32            | hyp_per_s38            |    984 |   1061 |    29.3% |      751
hyp_jbe_s26            | hyp_per_s21            |    944 |    905 |    29.3% |      762
hyp_jbe_s35            | hyp_per_s11            |    994 |   1055 |    29.3% |      711
hyp_jbe_s16            | hyp_per_s31            |    881 |   1127 |    29.2% |      718
hyp_jbe_s10            | hyp_per_s23            |    852 |    949 |    29.2% |      773
hyp_jbe_s4             | hyp_per_s25            |    721 |   1072 |    29.2% |      551
hyp_jbe_s16            | hyp_jbe_s4             |    881 |    721 |    29.2% |      582
hyp_per_s38            | hyp_per_s5             |   1061 |   1080 |    29.2% |      829
hyp_jbe_s2             | hyp_per_s18            |    818 |    859 |    29.2% |      675
hyp_per_s35            | hyp_per_s9             |    994 |    993 |    29.2% |      819
hyp_per_s14            | hyp_per_s30            |    811 |    938 |    29.2% |      706
hyp_jbe_s23            | hyp_per_s22            |    949 |    850 |    29.1% |      700
hyp_jbe_s2             | hyp_per_s35            |    818 |    994 |    29.1% |      676
hyp_per_s20            | hyp_per_s4             |    910 |    721 |    29.1% |      628
hyp_jbe_s26            | hyp_per_s33            |    944 |    935 |    29.1% |      755
hyp_per_s16            | hyp_per_s25            |    881 |   1072 |    29.1% |      707
hyp_per_s16            | hyp_per_s28            |    881 |    892 |    29.1% |      745
hyp_per_s11            | hyp_per_s33            |   1055 |    935 |    29.1% |      790
hyp_jbe_s18            | hyp_per_s34            |    859 |   1003 |    29.1% |      701
hyp_jbe_s11            | hyp_per_s30            |   1055 |    938 |    29.1% |      756
hyp_per_s25            | hyp_per_s27            |   1072 |   1097 |    29.1% |      595
hyp_per_s12            | hyp_per_s5             |    948 |   1080 |    29.1% |      812
hyp_per_s12            | hyp_per_s21            |    948 |    905 |    29.0% |      806
hyp_jbe_s35            | hyp_per_s21            |    994 |    905 |    29.0% |      696
hyp_per_s26            | hyp_per_s7             |    944 |    896 |    29.0% |      817
hyp_jbe_s10            | hyp_jbe_s25            |    852 |   1072 |    29.0% |      676
hyp_jbe_s37            | hyp_per_s31            |    774 |   1127 |    29.0% |      566
hyp_jbe_s23            | hyp_per_s3             |    949 |    944 |    29.0% |      753
hyp_jbe_s18            | hyp_jbe_s29            |    859 |    999 |    28.9% |      681
hyp_jbe_s33            | hyp_per_s35            |    935 |    994 |    28.9% |      764
hyp_per_s31            | hyp_per_s8             |   1127 |    882 |    28.9% |      771
hyp_jbe_s32            | hyp_per_s21            |    984 |    905 |    28.9% |      664
hyp_jbe_s32            | hyp_jbe_s4             |    984 |    721 |    28.9% |      488
hyp_per_s15            | hyp_per_s22            |    879 |    850 |    28.9% |      755
hyp_per_s31            | hyp_per_s32            |   1127 |    984 |    28.9% |      821
hyp_jbe_s11            | hyp_per_s19            |   1055 |    999 |    28.9% |      783
hyp_jbe_s11            | hyp_per_s29            |   1055 |    999 |    28.9% |      783
hyp_jbe_s26            | hyp_per_s7             |    944 |    896 |    28.9% |      745
hyp_jbe_s35            | hyp_jbe_s4             |    994 |    721 |    28.8% |      524
