state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
S2,Fz,-0.5589300226664553,0.11229945983283803,-0.5772400618267993,-0.6118404118404118,36
S2,Cz,-0.5597136678856651,0.09683243509413261,-0.5944520907380377,-0.7173745173745174,36
S2,Pz,-0.5883955876667758,0.11446292278306387,-0.6215215220810566,-0.7577863577863578,36
S2,C3,-0.5804671082010346,0.12207198269088947,-0.5934290644325657,-0.6133848133848134,36
S2,C4,-0.6056163877684128,0.12035534624693152,-0.6088267186365717,-0.6244530244530244,36
S2,T3,-0.6537967843069838,0.12355452609419192,-0.6804438270142528,-0.7454311454311454,36
S2,T4,-0.6407206518952617,0.12614748323547598,-0.6617258586057352,-0.7096525096525097,36
S2,Fp1,-0.4523901721657806,0.13292165849838627,-0.4955732620593639,-0.5966537966537967,36
S2,Fp2,-0.45685179640121426,0.140294418794861,-0.4797740828526659,-0.5966537966537967,36
S2,O1,-0.6401042179758288,0.10933736869458809,-0.6374717794539253,-0.6151866151866152,36
S2,O2,-0.6333412458572879,0.11163540299360215,-0.6330756326506034,-0.6733590733590734,36
S2,F3,-0.5634544846025453,0.13053937896061069,-0.5883343358626919,-0.783011583011583,36
S2,F4,-0.5741060569746941,0.11796916283121617,-0.5820494154894309,-0.6285714285714286,36
S2,P3,-0.5943766460095082,0.11160573561083807,-0.6516160238981168,-0.7930501930501931,36
S2,P4,-0.6062901174362327,0.11472466835597812,-0.6388966348851304,-0.7624195624195624,36
S2,FC1,-0.5738022212248012,0.12541112233165772,-0.5606454410764667,-0.5577863577863578,36
S2,FC2,-0.5686948989705081,0.1246531576509093,-0.5621684098761377,-0.5827541827541828,36
S2,CP1,-0.5699592917496328,0.10265504485620316,-0.6016274545838991,-0.6756756756756757,36
S2,CP2,-0.5844054358513732,0.11436470119669222,-0.6130221731636019,-0.7109395109395109,36
SWS,Fz,-0.7979108835869116,0.08466748293692988,-0.7608303008072306,-0.6888030888030888,36
SWS,Cz,-0.7534941990187697,0.09508722425662318,-0.7124235383110279,-0.6471042471042471,36
SWS,Pz,-0.828720081558225,0.07277950714427377,-0.8113029853199282,-0.7166023166023165,36
SWS,C3,-0.7818032137876736,0.08132336032187723,-0.7317405117150064,-0.5848133848133849,36
SWS,C4,-0.7829492159301948,0.07956896044740217,-0.7469301967913538,-0.5667953667953668,36
SWS,T3,-0.7731238170077394,0.09096019344069398,-0.7236562211335548,-0.6314028314028314,36
SWS,T4,-0.7550016425812741,0.10827554078722695,-0.7020536056032626,-0.5796653796653797,36
SWS,Fp1,-0.6524137100614751,0.15887065410063078,-0.6459406729178995,-0.6398970398970399,36
SWS,Fp2,-0.6444511775946296,0.15229201639432907,-0.6621055818578804,-0.6818532818532819,36
SWS,O1,-0.8234339178369395,0.08485864468143603,-0.7655967262904154,-0.5528957528957529,36
SWS,O2,-0.8118680175370903,0.08565247493569468,-0.7908054382907034,-0.6846846846846847,36
SWS,F3,-0.7308169434949504,0.10727100335544794,-0.6672981346157705,-0.584041184041184,36
SWS,F4,-0.701737947224749,0.1282817649378949,-0.6790671789394662,-0.546975546975547,36
