state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
S2,Fz,-0.5900217475757317,0.10814124993055407,-0.6413242389550837,-0.7706563706563706,36
S2,Cz,-0.5743044628676991,0.10788797174330113,-0.588145202734232,-0.703989703989704,36
S2,Pz,-0.5969077028072513,0.11198214575298908,-0.6263927205938513,-0.7001287001287001,36
S2,C3,-0.6034128938170258,0.12254487971945464,-0.6397050866787579,-0.7464607464607464,36
S2,C4,-0.6147043342210143,0.10940141533603762,-0.6406155231506965,-0.7075933075933076,36
S2,T3,-0.7263763575908451,0.11900540555103133,-0.714147289500125,-0.7758043758043758,36
S2,T4,-0.7363389093517726,0.10286860788749887,-0.7431407244904906,-0.8442728442728443,36
S2,Fp1,-0.6677026172353971,0.11697189574876177,-0.6860427456244274,-0.7868725868725869,36
S2,Fp2,-0.6698763949144476,0.10305867966500944,-0.6784383114401794,-0.7806949806949807,36
S2,O1,-0.5984335743894651,0.10326435133404818,-0.6131474515730232,-0.6311454311454311,36
S2,O2,-0.610674795066013,0.10151441009395253,-0.6395777464218757,-0.7238095238095238,36
S2,F3,-0.6292501603021284,0.11268253711081237,-0.6392669177983495,-0.6888030888030888,36
S2,F4,-0.6423011590050407,0.1142193002510685,-0.6653643481890507,-0.7745173745173746,36
S2,P3,-0.6198305643440958,0.10981381497680312,-0.6230592815491174,-0.6218790218790219,36
S2,P4,-0.6279904715517733,0.10069628133265299,-0.640071243566844,-0.6898326898326899,36
S2,FC1,-0.5828722674915909,0.11504920181871127,-0.6028784580659878,-0.712998712998713,36
S2,FC2,-0.5903681548423627,0.11077772695885009,-0.6103619398632457,-0.7217503217503217,36
S2,CP1,-0.5984209533768073,0.11683140733498383,-0.6306626028141745,-0.7325611325611325,36
S2,CP2,-0.6022841263921304,0.10172850790734883,-0.6415995261473632,-0.7637065637065638,36
SWS,Fz,-0.7896100860633928,0.09501398323049887,-0.7721835239034349,-0.6795366795366795,36
SWS,Cz,-0.7491402513116096,0.0906940455873402,-0.7073617199838675,-0.5644787644787644,36
SWS,Pz,-0.821920094219137,0.09175746225996982,-0.7964016868157522,-0.6218790218790219,36
SWS,C3,-0.7843987539585187,0.08962085111555111,-0.7449135850824654,-0.6095238095238096,36
SWS,C4,-0.7851108752715142,0.07601181171455655,-0.759844558912986,-0.5546975546975547,36
SWS,T3,-0.8014524720676266,0.09255991294478223,-0.787407334381027,-0.7037323037323038,36
SWS,T4,-0.7956926247066998,0.0857138607178341,-0.7975290654248245,-0.7436293436293436,36
SWS,Fp1,-0.7460601260999398,0.10174480732343316,-0.7387573736738213,-0.6097812097812098,36
SWS,Fp2,-0.7469815134700266,0.09480005941345072,-0.7434771251601873,-0.6978120978120979,36
SWS,O1,-0.8289160329933963,0.10852329098224592,-0.8217545986196786,-0.677992277992278,36
SWS,O2,-0.8308249921625238,0.10911256348651951,-0.8190159875059914,-0.6669240669240669,36
SWS,F3,-0.7455916606445425,0.09827664103694239,-0.6913602432192304,-0.5418275418275418,36
SWS,F4,-0.7583864960178703,0.07240237405705358,-0.715951395890162,-0.5606177606177606,36
SWS,P3,-0.8088450567144576,0.10462643169867189,-0.7845482710259792,-0.572972972972973,36
SWS,P4,-0.8151555744022103,0.0865680512143149,-0.7906463346508725,-0.6110682110682111,36
SWS,FC1,-0.7566803670661122,0.10399810708152404,-0.7183721182780427,-0.5642213642213643,36
SWS,FC2,-0.7544278301988263,0.12658820673054938,-0.7276792752029921,-0.6028314028314028,36
SWS,CP1,-0.8089510103556888,0.09667340525052232,-0.7848796350508629,-0.6195624195624195,36
SWS,CP2,-0.8077698274971852,0.08870340157192802,-0.7895753068355715,-0.6517374517374518,36
REM,Fz,-0.4990768403160108,0.12290824763554518,-0.6589432227568714,-0.8543114543114543,36
REM,Cz,-0.5590253602056845,0.11836283151019113,-0.6348247328451528,-0.7917631917631918,36
REM,Pz,-0.49688066798985825,0.1400331476220254,-0.6301868956760325,-0.7987129987129987,36
REM,C3,-0.5369308182788946,0.12143706110197426,-0.6477244281375116,-0.8283140283140283,36
REM,C4,-0.5400214078508482,0.13736129889124996,-0.6322305589515181,-0.7814671814671814,36
REM,T3,-0.5540222277020829,0.11648865667327245,-0.5942010264320863,-0.7075933075933076,36
REM,T4,-0.5675355595454881,0.10369826503780609,-0.5920387454886007,-0.6818532818532819,36
REM,Fp1,-0.7311657385580113,0.0705485106901332,-0.6943017244442264,-0.7534105534105534,36
REM,Fp2,-0.7315642163665043,0.08224285135791934,-0.6960980399754062,-0.7698841698841699,36
REM,O1,-0.5721411787245411,0.12397709710348447,-0.6444580398307087,-0.7217503217503217,36
REM,O2,-0.5913259769204426,0.11909595576596041,-0.6538777768125044,-0.7171171171171171,36
REM,F3,-0.5734691043047887,0.101580379835515,-0.61234566839338,-0.7925353925353925,36
REM,F4,-0.5798029606440108,0.1081109414629729,-0.6037588020639924,-0.8146718146718147,36
REM,P3,-0.5259821803140676,0.12020608758239196,-0.6259139796507247,-0.7966537966537967,36
REM,P4,-0.5334726128806307,0.12245657140422073,-0.6121904240409272,-0.7420849420849421,36
REM,FC1,-0.5291370350021326,0.13077650543700092,-0.614656879933881,-0.8218790218790218,36
REM,FC2,-0.527976255171322,0.14143802805248362,-0.6227481190707298,-0.788931788931789,36
REM,CP1,-0.5130350089510721,0.1367872386996394,-0.6454505168494215,-0.8501930501930502,36
REM,CP2,-0.5072895265290885,0.13042593542617464,-0.6305493623458938,-0.8432432432432433,36
NREM,Fz,-0.8783923407438545,0.03820193467528075,-0.8694347635946684,-0.8669240669240669,36
NREM,Cz,-0.8560131814312344,0.042081110105147757,-0.8392794052627222,-0.8437580437580438,36
NREM,Pz,-0.8860734560469375,0.03494460899067749,-0.876396236403945,-0.8123552123552124,36
NREM,C3,-0.8790242016288349,0.03297313780044958,-0.8664806359975871,-0.8401544401544402,36
NREM,C4,-0.880671205276255,0.03275848158908945,-0.870226188793179,-0.8172458172458172,36
NREM,T3,-0.9068550600431694,0.034057427881795554,-0.8924879578684659,-0.8643500643500643,36
NREM,T4,-0.9069953185656295,0.0311660403225703,-0.9003810633868108,-0.8707850707850708,36
NREM,Fp1,-0.8633379193255193,0.04040710612827308,-0.8593659082587927,-0.8810810810810811,36
NREM,Fp2,-0.8631116656541111,0.03770722799765163,-0.8577584332154602,-0.8767052767052768,36
NREM,O1,-0.892085706558132,0.037176578429073695,-0.88010796488129,-0.7508365508365509,36
NREM,O2,-0.8945084306901506,0.03466287729862815,-0.8852988314115542,-0.7925353925353925,36
NREM,F3,-0.86587545780549,0.04249411322427898,-0.8452898321263033,-0.833976833976834,36
NREM,F4,-0.8680371620086954,0.04084523116773394,-0.855924690205563,-0.8733590733590734,36
